Handle,Title,Body (HTML),Vendor,Product Category,Type,Tag,Published,Option1 Name,Option1 Value,Option 2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Include / Japan,Include / International,Price / International,Compare At Price / International,Status
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,46,,Nero,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-2-1000x748.jpeg,2,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,50,,Nero,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-3.jpeg,3,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,48,,Nero,,0,,1,deny,manual,"€44,90",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-4.jpeg,4,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-5.jpeg,5,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-1-150x150.jpeg,6,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-2-150x150.jpeg,7,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-3-150x150.jpeg,8,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-4-150x150.jpeg,9,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
slip-calvin-klein-underwear-3-hip-brief-nero | U2661G,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/slip-calvin-klein-underwear-nero-slip-uomo-calvin-klein-underwear-3-hip-brief-u2661g-vita-bassa-intimo-nuovo-5-150x150.jpeg,10,slip-calvin-klein-underwear-3-hip-brief-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,Pantaloni da completo Selected SLHSLIM-MYLOLOGAN B NOOS Nero,"<p><strong>Modello: </strong>SLHSLIM-MYLOLOGAN B NOOS</p><p><strong>Codice Articolo Selected: </strong>16051390</p><p><strong>Composizione:</strong> 65% Poliestere, 33% Viscosa, 2% Elastan</p>",Selected,,Pantalone da completo Uomo,male,False,Size,46,Color,Nero,16051390-Nero,0,shopify,1,deny,manual,"€59,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-1-1000x1250.jpeg,1,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,54,,Nero,,0,,1,deny,manual,"€59,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-2-1000x1249.jpeg,2,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,56,,Nero,,0,,1,deny,manual,"€59,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-3-1000x1333.jpeg,3,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,52,,Nero,,0,,1,deny,manual,"€59,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-4-1000x1250.jpeg,4,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,44,,Nero,,0,,1,deny,manual,"€59,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388281-5-1000x1250.jpeg,5,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-1-150x150.jpeg,6,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-2-150x150.jpeg,7,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-3-150x150.jpeg,8,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388276-4-150x150.jpeg,9,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero | 16051390,,,,,,,,,,,,,,,,,,,,,,,https://goccia.shop/wp-content/uploads/2024/02/pantalone-da-completo-selected-nero-16051390-mylologan-1641388281-5-150x150.jpeg,10,pantaloni-da-completo-selected-slhslim-mylologan-b-noos-nero,,,,,,,,,,,,,,,,,,,,,,,
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,Camicia manica lunga Only & Sons GUDMUND LS CHECKED SHIRT NOOS Grigio,<p><strong>Modello: </strong>GUDMUND LS CHECKED SHIRT NOOS</p><p><strong>Codice Articolo Only &amp; Sons: </strong>22007112</p><p><strong>Composizione:</strong> 100% Cotone</p>,Only & Sons,,Camicia maniche lunghe Uomo,male,False,Size,46,Color,Grigio,22007112-Grigio,0,shopify,1,deny,manual,"€34,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567926-1-1000x1250.jpeg,1,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,False,,,,,,,,,,,,,,,kg,,,True,True,,,active
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,,,,,,,,,54,,Grigio,,0,,1,deny,manual,"€34,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567926-2-1000x1250.jpeg,2,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,,,,,,,,,,,,,,,,,,,,,,,
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,,,,,,,,,52,,Grigio,,0,,1,deny,manual,"€34,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567935-3-1000x1250.jpeg,3,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,,,,,,,,,,,,,,,,,,,,,,,
camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio | 22007112,,,,,,,,,44,,Grigio,,0,,1,deny,manual,"€34,99",,True,False,,https://goccia.shop/wp-content/uploads/2024/02/camicia-maniche-lunghe-only-sons-grigio-gudmund-checked-shirt-noos-22007112-1637567935-4-1000x1250.jpeg,4,camicia-manica-lunga-only-&-sons-gudmund-ls-checked-shirt-noos-grigio,,,,,,,,,,,,,,,,,,,,,,,
